game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Centreville HS Team 1,BIOLOGY,0,0,0,0,4,0,0,4
1,1,1,Centreville HS Team 1,CHEMISTRY,0,0,0,0,4,0,0,4
1,1,1,Centreville HS Team 1,EARTH_SPACE,0,0,0,0,4,0,0,4
1,1,1,Centreville HS Team 1,ENERGY,4,10,1,0,2,1,0,2
1,1,1,Centreville HS Team 1,MATH,4,0,1,0,3,0,1,3
1,1,1,Centreville HS Team 1,PHYSICS,8,10,2,0,2,1,1,2
1,2,2,Eagles A,BIOLOGY,12,10,3,0,1,1,2,1
1,2,2,Eagles A,CHEMISTRY,16,20,4,0,0,2,2,0
1,2,2,Eagles A,EARTH_SPACE,8,0,3,1,0,0,3,1
1,2,2,Eagles A,ENERGY,8,20,2,0,1,2,0,1
1,2,2,Eagles A,MATH,12,10,3,0,1,1,2,1
1,2,2,Eagles A,PHYSICS,8,20,2,0,2,2,0,2
2,1,1,Centreville HS Team 1,BIOLOGY,4,10,1,0,3,1,0,3
2,1,1,Centreville HS Team 1,CHEMISTRY,4,0,1,0,3,0,0,4
2,1,1,Centreville HS Team 1,EARTH_SPACE,8,0,2,0,2,0,2,2
2,1,1,Centreville HS Team 1,ENERGY,0,0,0,0,3,0,0,3
2,1,1,Centreville HS Team 1,MATH,4,0,1,0,3,0,1,3
2,1,1,Centreville HS Team 1,PHYSICS,8,10,2,0,2,1,0,3
2,2,3,Richard Montgomery,BIOLOGY,12,20,3,0,1,2,0,2
2,2,3,Richard Montgomery,CHEMISTRY,8,20,2,0,2,2,0,2
2,2,3,Richard Montgomery,EARTH_SPACE,0,0,1,1,2,0,1,3
2,2,3,Richard Montgomery,ENERGY,12,10,3,0,0,1,2,0
2,2,3,Richard Montgomery,MATH,4,10,1,0,3,1,0,3
2,2,3,Richard Montgomery,PHYSICS,4,10,1,0,3,1,0,3
3,1,4,North Allegheny,BIOLOGY,4,20,2,1,1,2,0,2
3,1,4,North Allegheny,CHEMISTRY,8,10,2,0,2,1,1,2
3,1,4,North Allegheny,EARTH_SPACE,4,10,1,0,3,1,0,3
3,1,4,North Allegheny,ENERGY,8,20,2,0,1,2,0,1
3,1,4,North Allegheny,MATH,8,20,2,0,2,2,0,2
3,1,4,North Allegheny,PHYSICS,8,10,2,0,2,1,1,2
3,2,5,Basis,BIOLOGY,0,0,0,0,4,0,0,4
3,2,5,Basis,CHEMISTRY,0,0,0,0,4,0,0,4
3,2,5,Basis,EARTH_SPACE,8,20,2,0,2,2,0,2
3,2,5,Basis,ENERGY,4,10,1,0,2,1,0,2
3,2,5,Basis,MATH,4,10,1,0,3,1,0,3
3,2,5,Basis,PHYSICS,0,20,2,2,0,2,0,2
4,1,6,South Jersey,BIOLOGY,8,30,3,1,0,3,0,1
4,1,6,South Jersey,CHEMISTRY,0,0,1,1,2,0,1,3
4,1,6,South Jersey,EARTH_SPACE,12,10,3,0,1,1,2,1
4,1,6,South Jersey,ENERGY,4,10,1,0,2,1,0,2
4,1,6,South Jersey,MATH,0,10,1,1,2,1,0,3
4,1,6,South Jersey,PHYSICS,4,20,2,1,1,2,0,2
4,2,7,Eagles B,BIOLOGY,0,0,0,0,4,0,0,4
4,2,7,Eagles B,CHEMISTRY,4,0,1,0,3,0,1,3
4,2,7,Eagles B,EARTH_SPACE,0,10,1,1,2,1,0,3
4,2,7,Eagles B,ENERGY,8,20,2,0,1,2,0,1
4,2,7,Eagles B,MATH,4,20,2,1,1,2,0,2
4,2,7,Eagles B,PHYSICS,0,0,0,0,4,0,0,4
5,1,8,Eagles C,BIOLOGY,0,0,0,0,4,0,0,4
5,1,8,Eagles C,CHEMISTRY,0,0,0,0,4,0,0,4
